task,source,query,method,total_query_steps,reusable_prefix_length,reuse_ratio,partial_reuse_steps,partial_reuse_ratio,max_reuse_depth,avg_reuse_depth
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183027,ours_improved,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183027,full_workspace_hash,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183027,exact_history,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183027,tvcache_tcg,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183612-62bf705d,ours_improved,4,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183612-62bf705d,full_workspace_hash,4,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183612-62bf705d,exact_history,4,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183550-0ef49fc5,find-network-alignments-20260901-183612-62bf705d,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183027,ours_improved,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183027,full_workspace_hash,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183027,exact_history,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183027,tvcache_tcg,5,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183550-0ef49fc5,ours_improved,4,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183550-0ef49fc5,full_workspace_hash,4,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183550-0ef49fc5,exact_history,4,0,0.0,0,0.0,0,0.0
find-network-alignments,find-network-alignments-20260901-183612-62bf705d,find-network-alignments-20260901-183550-0ef49fc5,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183429-fc340c07,ours_improved,4,3,0.75,3,0.75,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183429-fc340c07,full_workspace_hash,4,3,0.75,3,0.75,3,2
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183429-fc340c07,exact_history,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183429-fc340c07,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183453-811031fb,ours_improved,4,1,0.25,1,0.25,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183453-811031fb,full_workspace_hash,4,3,0.75,3,0.75,3,2
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183453-811031fb,exact_history,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183453-811031fb,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-182955,ours_improved,8,1,0.125,1,0.125,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-182955,full_workspace_hash,8,1,0.125,1,0.125,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-182955,exact_history,8,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-182955,tvcache_tcg,8,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-183453-811031fb,ours_improved,4,1,0.25,1,0.25,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-183453-811031fb,full_workspace_hash,4,3,0.75,3,0.75,3,2
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-183453-811031fb,exact_history,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-183453-811031fb,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-182955,ours_improved,8,1,0.125,1,0.125,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-182955,full_workspace_hash,8,1,0.125,1,0.125,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-182955,exact_history,8,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-182955,tvcache_tcg,8,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-183429-fc340c07,ours_improved,4,3,0.75,3,0.75,1,1
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-183429-fc340c07,full_workspace_hash,4,3,0.75,3,0.75,3,2
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-183429-fc340c07,exact_history,4,0,0.0,0,0.0,0,0.0
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183453-811031fb,jax-pytorch-rewrite-20260901-183429-fc340c07,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-182909,kubernetes-rust-rewrite-20260901-183348-25f97c19,ours_improved,4,1,0.25,1,0.25,1,1
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-182909,kubernetes-rust-rewrite-20260901-183348-25f97c19,full_workspace_hash,4,4,1.0,4,1.0,4,2.5
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-182909,kubernetes-rust-rewrite-20260901-183348-25f97c19,exact_history,4,0,0.0,0,0.0,0,0.0
